split_kind,constraint_G_left,constraint_G_right,max_constraint_excess,fraction_strictly_feasible,constraint_fraction_q_ge_tau,constraint_mean_probability_shortfall,constraint_mean_probability,median_max_constraint_excess,max_max_constraint_excess
assay,0.04910169907379891,0.03489000154004312,0.006270401552319482,0.5875,0.6652866368042579,0.09093624639948573,0.8377512111299956,0.006341031193733176,0.010909844376146744
document,0.04907772801816458,0.033280808302515605,0.005122785503044672,0.46249999999999997,0.675640660289143,0.08867120652076235,0.8424005503719619,0.0017285579815506326,0.018747355416417068
random,0.04504674606723706,0.03751624933793205,0.005298266257159364,0.4125,0.628358632314832,0.10126215460292658,0.8232907135840232,0.005292466562241283,0.013576766848564098
scaffold,0.04856453678803514,0.0354730546008795,0.004852886591106608,0.5375,0.6641200160240718,0.08995695094865688,0.837969377252817,0.003911694884300187,0.015715201944112744
source,0.048086834440861474,0.03382490618969309,0.008394621378586889,0.41666666666666663,0.6420730873079791,0.09458413552654568,0.8319315802683145,0.0072249162942170505,0.02964360713958736
all,0.047975508877619435,0.03499700399421267,0.005987792256443403,0.4833333333333334,0.6550958065480568,0.09308213879967545,0.8346686865214223,0.0056817403063177535,0.02964360713958736
