comparison,metric,a,b,split_kind,n_endpoints,median_delta,mean_delta,wilcoxon_stat,p_value
transfer_vs_assay,dec_false_safe_rate,satisficing_transfer@0.05,satisficing_assay@0.05,assay,8,-0.003947127292818237,-0.005564200144346748,12.0,0.4609375
transfer_vs_assay,acc_mae,satisficing_transfer@0.05,satisficing_assay@0.05,document,8,-0.02678309947869917,-0.026530399269381097,0.0,0.0078125
transfer_vs_assay,viol_violation_rate,satisficing_transfer@0.05,satisficing_assay@0.05,document,8,0.005170049557935569,0.0008064236440113032,17.0,0.9453125
transfer_vs_assay,dec_false_safe_rate,satisficing_transfer@0.05,satisficing_assay@0.05,document,8,-0.0021737815826059492,0.0005648718549343193,17.0,0.9453125
transfer_vs_assay,acc_mae,satisficing_transfer@0.05,satisficing_assay@0.05,random,8,-0.017521912535359396,-0.01822447253174512,0.0,0.0078125
transfer_vs_assay,viol_violation_rate,satisficing_transfer@0.05,satisficing_assay@0.05,random,8,0.02230700401626301,0.01908282672664663,1.0,0.015625
transfer_vs_assay,dec_false_safe_rate,satisficing_transfer@0.05,satisficing_assay@0.05,random,8,-0.014565737711024263,-0.01115380765474117,6.0,0.109375
transfer_vs_assay,acc_mae,satisficing_transfer@0.05,satisficing_assay@0.05,scaffold,8,-0.017879725556891157,-0.02115260226214368,0.0,0.0078125
transfer_vs_assay,viol_violation_rate,satisficing_transfer@0.05,satisficing_assay@0.05,scaffold,8,0.04066218826224785,0.04453788854518051,4.0,0.0546875
transfer_vs_assay,dec_false_safe_rate,satisficing_transfer@0.05,satisficing_assay@0.05,scaffold,8,-0.024272958290230545,-0.023937699546537572,4.0,0.0546875
transfer_vs_assay,acc_mae,satisficing_transfer@0.05,satisficing_assay@0.05,source,8,-0.06549956922162692,-0.12543315935141452,2.0,0.0234375
transfer_vs_assay,viol_violation_rate,satisficing_transfer@0.05,satisficing_assay@0.05,source,8,0.048703529386420794,0.07573940614700082,0.0,0.0078125
transfer_vs_assay,dec_false_safe_rate,satisficing_transfer@0.05,satisficing_assay@0.05,source,8,-0.09956270934564349,-0.10785822974527773,0.0,0.0078125
transfer_vs_assay,acc_mae,satisficing_transfer@0.05,satisficing_assay@0.05,threshold,8,-0.01122340551733525,-0.008075501353252856,14.0,0.640625
transfer_vs_assay,dec_false_safe_rate,satisficing_transfer@0.05,satisficing_assay@0.05,threshold,8,-0.011066482308407177,0.00042223919458278525,16.0,0.84375
transfer_vs_exact,acc_mae,satisficing_transfer@0.05,exact_only,assay,8,-0.0007592557204421646,-0.007625231081891781,13.0,0.546875
transfer_vs_exact,viol_violation_rate,satisficing_transfer@0.05,exact_only,assay,8,-0.21772942646793456,-0.2080169471874988,0.0,0.0078125
transfer_vs_exact,dec_false_safe_rate,satisficing_transfer@0.05,exact_only,assay,8,0.06001041873465121,0.06073477534893653,0.0,0.0078125
transfer_vs_exact,acc_mae,satisficing_transfer@0.05,exact_only,document,8,-0.013368071457863673,-0.014782456091917626,8.0,0.1953125
transfer_vs_exact,viol_violation_rate,satisficing_transfer@0.05,exact_only,document,8,-0.1633159457401002,-0.1573716802952463,0.0,0.0078125
transfer_vs_exact,dec_false_safe_rate,satisficing_transfer@0.05,exact_only,document,8,0.05078673168589726,0.06322900684896389,0.0,0.0078125
transfer_vs_exact,acc_mae,satisficing_transfer@0.05,exact_only,random,8,-0.001421448408442938,-0.010934925807689344,11.0,0.3828125
transfer_vs_exact,viol_violation_rate,satisficing_transfer@0.05,exact_only,random,8,-0.27849039417200233,-0.2858650479992639,0.0,0.0078125
transfer_vs_exact,dec_false_safe_rate,satisficing_transfer@0.05,exact_only,random,8,0.021729814416076798,0.01911739342169255,3.0,0.0390625
transfer_vs_exact,acc_mae,satisficing_transfer@0.05,exact_only,scaffold,8,-0.01844258115527936,-0.015372339851015028,6.0,0.109375
transfer_vs_exact,viol_violation_rate,satisficing_transfer@0.05,exact_only,scaffold,8,-0.22471050387666164,-0.23522203994209093,0.0,0.0078125
transfer_vs_exact,dec_false_safe_rate,satisficing_transfer@0.05,exact_only,scaffold,8,0.015756910252272008,0.014642593082511045,9.0,0.25
transfer_vs_exact,acc_mae,satisficing_transfer@0.05,exact_only,source,8,0.003506601405240617,-0.0469242552030676,15.0,0.7421875
transfer_vs_exact,viol_violation_rate,satisficing_transfer@0.05,exact_only,source,8,-0.18403551577342772,-0.18023918910168657,0.0,0.0078125
transfer_vs_exact,dec_false_safe_rate,satisficing_transfer@0.05,exact_only,source,8,0.13965949872792988,0.08689435745709895,8.0,0.1953125
transfer_vs_exact,acc_mae,satisficing_transfer@0.05,exact_only,threshold,8,-0.09035772980005463,-0.1040757053966379,0.0,0.0078125
transfer_vs_exact,dec_false_safe_rate,satisficing_transfer@0.05,exact_only,threshold,8,-0.0028079770559594763,0.0171355712328405,14.0,0.640625
