endpoint,backbone,split,seed,treatment,eps,mae,rmse,spearman,violation
CYP3A4_IC50_B,dmpnn,scaffold,0,exact_only,1.0,0.49942557178807634,0.9168549877563599,0.4589803127561981,1.0
CYP3A4_IC50_B,dmpnn,scaffold,0,tobit,0.0,1.3699968355460337,1.7089232394587386,-0.25124188165925737,0.05555555555555555
CYP3A4_IC50_B,dmpnn,scaffold,0,satisficing,0.02,0.7037472555555414,1.0029456576717228,0.15746364174142785,0.9444444444444444
CYP3A4_IC50_B,dmpnn,scaffold,0,satisficing,0.1,0.7629555255958184,1.0186016284675588,0.2716879631571531,0.9444444444444444
CYP3A4_IC50_B,dmpnn,random,0,exact_only,1.0,0.5226448551712671,0.9199026354548018,0.3081242667600377,1.0
CYP3A4_IC50_B,dmpnn,random,0,tobit,0.0,0.9001791113545959,1.2736733778060176,0.09494219649444893,0.9555555555555556
CYP3A4_IC50_B,dmpnn,random,0,satisficing,0.02,0.6055603436037789,1.0759857382823323,0.07511854378837364,0.8222222222222222
CYP3A4_IC50_B,dmpnn,random,0,satisficing,0.1,0.7574721948074518,1.0576687278711487,0.09961765456240242,0.9777777777777777
