endpoint,split,eps,G_right,G_left,G_interval,lam_right,lam_left,feasible,test_violation,rho
hERG:IC50,random,0.02,0.010950610972940922,0.024954216554760933,,0.0,2.6990702152252197,False,0.3298097251585624,100.0
hERG:IC50,random,0.05,0.03338274359703064,0.047585684806108475,,0.0,3.4309918880462646,True,0.2758985200845666,100.0
hERG:IC50,random,0.1,0.09532788395881653,0.07377444207668304,,0.0,0.0,True,0.35412262156448204,100.0
hERG:IC50,random,0.2,0.16464874148368835,0.20151352882385254,,0.0,0.1513528823852539,False,0.40063424947145876,100.0
hERG:IC50,assay,0.02,0.013219725340604782,0.016130344942212105,,0.0,3.6945364475250244,True,0.36961206896551724,100.0
hERG:IC50,assay,0.05,0.02464056760072708,0.06393350660800934,,0.0,1.393350601196289,False,0.4105603448275862,100.0
hERG:IC50,assay,0.1,0.0733460783958435,0.10030919313430786,,0.0,0.030919313430786133,True,0.40301724137931033,100.0
hERG:IC50,assay,0.2,0.1779731810092926,0.1564902663230896,,0.0,0.0,True,0.44719827586206895,100.0
CYP3A4:IC50,random,0.02,0.037297382950782776,0.016604077070951462,,1.9979909658432007,5.514123916625977,False,0.23492349234923493,100.0
CYP3A4:IC50,random,0.05,0.04133670777082443,0.05173322930932045,,0.0,0.23424148559570312,False,0.30063006300630063,100.0
CYP3A4:IC50,random,0.1,0.06533768773078918,0.1015361025929451,,0.0,0.5068113803863525,False,0.2907290729072907,100.0
CYP3A4:IC50,random,0.2,0.1865372657775879,0.16472969949245453,,0.0,0.0,True,0.42664266426642666,100.0
CYP3A4:IC50,assay,0.02,0.01724403165280819,0.02057451754808426,,0.08003649115562439,1.8996599912643433,True,0.33747779751332146,100.0
CYP3A4:IC50,assay,0.05,0.053674548864364624,0.03843317925930023,,0.3674548864364624,1.0664838552474976,False,0.3738898756660746,100.0
CYP3A4:IC50,assay,0.1,0.06401113420724869,0.07746458053588867,,0.0,0.0,True,0.44493783303730017,100.0
CYP3A4:IC50,assay,0.2,0.13930848240852356,0.19013142585754395,,0.0,0.0,True,0.48401420959147423,100.0
CYP2C9:IC50,random,0.02,0.011615781113505363,0.019523022696375847,,0.0,5.274744033813477,True,0.2786377708978328,100.0
CYP2C9:IC50,random,0.05,0.021426668390631676,0.04422350972890854,,0.0,0.7237874865531921,True,0.25077399380804954,100.0
CYP2C9:IC50,random,0.1,0.09481900185346603,0.0786302462220192,,0.0,0.0,True,0.32507739938080493,100.0
CYP2C9:IC50,random,0.2,0.15031050145626068,0.16455087065696716,,0.0,0.0,True,0.3281733746130031,100.0
CYP2C9:IC50,assay,0.02,0.018066320568323135,0.018140532076358795,,0.0,4.387463569641113,True,0.3991031390134529,100.0
CYP2C9:IC50,assay,0.05,0.03863993659615517,0.04986710473895073,,0.0,0.0,True,0.42301943198804187,100.0
CYP2C9:IC50,assay,0.1,0.0547892302274704,0.10274160653352737,,0.0,1.4607925415039062,False,0.38565022421524664,100.0
CYP2C9:IC50,assay,0.2,0.14201277494430542,0.18681620061397552,,0.0,0.17188727855682373,True,0.42750373692077726,100.0
