endpoint,target_key,target_chembl_id,standard_type,assay_type,raw_rows,core_clean_rows,strict_candidate_rows,unique_compounds_core,unique_parent_compounds_core,exact_pct,censored_pct,left_censored_p_pct,right_censored_p_pct,exact_n,censored_n,left_censored_p_n,right_censored_p_n,earliest_year,latest_year,rows_with_year_pct,median_p_value,relation_values_seen,units_seen,validity_flags_seen,pass_gate
CYP2C19_Ki_A,CYP2C19,CHEMBL3622,Ki,A,88,88,45,87,87,0.9204545454545454,0.07954545454545454,0.07954545454545454,0.0,81,7,7,0,2004,2021,1.0,5.377861439599078,=;>,nM,Outside typical range,False
hERG_IC50_A,hERG,CHEMBL240,IC50,A,46,43,39,42,41,0.7209302325581395,0.27906976744186046,0.27906976744186046,0.0,31,12,12,0,2012,2021,1.0,4.70245833218184,=;>,nM,,False
CYP1A2_Ki_A,CYP1A2,CHEMBL3356,Ki,A,37,37,35,36,36,0.9459459459459459,0.05405405405405406,0.05405405405405406,0.0,35,2,2,0,2005,2022,1.0,5.653647025549361,=;>,nM,Outside typical range,False
CYP2C9_Ki_A,CYP2C9,CHEMBL3397,Ki,A,167,167,34,154,154,0.9401197604790419,0.059880239520958084,0.059880239520958084,0.0,157,10,10,0,2000,2020,1.0,5.154901959985743,=;>,nM,Outside typical range,False
hERG_Ki_T,hERG,CHEMBL240,Ki,T,33,32,29,32,32,0.8125,0.1875,0.1875,0.0,26,6,6,0,2006,2024,1.0,5.0,=;>,nM,,False
ABCB1_IC50_F,ABCB1,CHEMBL4302,IC50,F,399,391,22,166,166,0.8593350383631714,0.14066496163682865,0.14066496163682865,0.0,336,55,55,0,1995,2006,1.0,4.920818753952375,=;>,nM,Outside typical range,False
ABCB1_AC50_F,ABCB1,CHEMBL4302,AC50,F,22,22,22,22,22,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.0,12,10,10,0,2006,2006,1.0,4.022493048480975,=;>,nM,,False
CYP1A2_Ki_B,CYP1A2,CHEMBL3356,Ki,B,891,20,20,18,18,1.0,0.0,0.0,0.0,20,0,0,0,2015,2015,1.0,6.1479247415801,=,nM,,False
ABCB1_IC50_A,ABCB1,CHEMBL4302,IC50,A,6,6,6,5,5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,4,2,2,0,2012,2014,1.0,4.8928430512878,=;>,nM,,False
CYP2D6_IC50_F,CYP2D6,CHEMBL289,IC50,F,4,4,4,4,4,0.0,1.0,1.0,0.0,0,4,4,0,2021,2021,1.0,4.698970004336019,>,nM,,False
CYP3A4_Ki_B,CYP3A4,CHEMBL340,Ki,B,873,2,1,2,2,1.0,0.0,0.0,0.0,2,0,0,0,2020,2024,1.0,4.814466068864132,=,nM,,False
hERG_AC50_T,hERG,CHEMBL240,AC50,T,1,1,1,1,1,1.0,0.0,0.0,0.0,1,0,0,0,2022,2022,1.0,5.552841968657781,=,nM,,False
