endpoint,split,fold,seed,raw_cov,raw_width,raw_interval_score,conformal_cov,conformal_width,conformal_interval_score,mondrian_cov,mondrian_width,n_test_exact
CYP2D6:IC50,random,0,0,0.23703703703703705,0.4382066578304158,9.566526329563553,0.92,4.00177693564907,4.778841308456663,0.92,4.00177693564907,675
CYP2D6:IC50,random,0,1,0.2577777777777778,0.4118278933293892,9.752035937723576,0.9259259259259259,4.21482930128182,4.966511107956234,0.9259259259259259,4.21482930128182,675
CYP2D6:IC50,random,1,0,0.3094170403587444,0.5518175439368185,8.596465433337576,0.9252615844544095,3.489353785188646,4.213454363029971,0.9252615844544095,3.489353785188646,669
CYP2D6:IC50,random,1,1,0.2645739910313901,0.42095312310156396,9.513134768392007,0.9028400597907325,3.68571043306081,4.625384133927405,0.9028400597907325,3.68571043306081,669
CYP2D6:IC50,random,2,0,0.37554585152838427,0.6407455507895703,8.446191956398412,0.8981077147016011,3.651653144817729,4.672759678836323,0.8981077147016011,3.651653144817729,687
CYP2D6:IC50,random,2,1,0.3318777292576419,0.5944721673836985,8.696919191904415,0.9097525473071325,3.423650885631485,4.352092494624073,0.9097525473071325,3.423650885631485,687
CYP2D6:IC50,random,3,0,0.2664624808575804,0.41152991339575906,9.527279092409191,0.8667687595712098,2.8947111670388845,4.346335474574425,0.8667687595712098,2.8947111670388845,653
CYP2D6:IC50,random,3,1,0.25880551301684535,0.37467206574625356,9.75151907275592,0.8989280245022971,3.546675805143225,4.8433310357549,0.8989280245022971,3.546675805143225,653
CYP2D6:IC50,random,4,0,0.27555555555555555,0.4730749637163643,8.737458042646553,0.8977777777777778,3.4463046318642347,4.21966152724035,0.8977777777777778,3.4463046318642347,675
CYP2D6:IC50,random,4,1,0.3111111111111111,0.5103229141628961,8.657168544254898,0.9051851851851852,3.4746814998892916,4.270307398821277,0.9051851851851852,3.4746814998892916,675
CYP2D6:IC50,scaffold,0,0,0.20489296636085627,0.36717576888629033,9.849519383254435,0.8883792048929664,2.9591917337561937,4.050621329026291,0.8883792048929664,2.9591917337561937,654
CYP2D6:IC50,scaffold,0,1,0.2706422018348624,0.5004993889607147,9.65143760875105,0.8960244648318043,3.026888365762108,4.1521824535253335,0.8960244648318043,3.026888365762108,654
CYP2D6:IC50,scaffold,1,0,0.2545155993431856,0.5414424401610285,9.468017534182252,0.8932676518883416,3.0016087468279475,4.101777646408883,0.8932676518883416,3.0016087468279475,609
CYP2D6:IC50,scaffold,1,1,0.1724137931034483,0.33285648792969047,10.379854124916125,0.9195402298850575,3.691767633904909,4.3711144989856425,0.9195402298850575,3.691767633904909,609
CYP2D6:IC50,scaffold,2,0,0.16587677725118483,0.2985015367080159,10.26419177993766,0.8957345971563981,3.1141695865978134,4.18523400789879,0.8957345971563981,3.1141695865978134,633
CYP2D6:IC50,scaffold,2,1,0.13270142180094788,0.2865740953076924,10.900831367494508,0.8957345971563981,3.4358161028292304,4.457159484092231,0.8957345971563981,3.4358161028292304,633
CYP2D6:IC50,scaffold,3,0,0.21104815864022664,0.4065250535606799,10.056054020249354,0.9022662889518414,3.213015432481342,4.313195953356743,0.9022662889518414,3.213015432481342,706
CYP2D6:IC50,scaffold,3,1,0.21671388101983002,0.4255020157612267,10.076361326605106,0.8881019830028328,3.1395468099739614,4.304329091624236,0.8881019830028328,3.1395468099739614,706
CYP2D6:IC50,scaffold,4,0,0.2985468956406869,0.6094930228163761,9.561442552519004,0.9154557463672391,5.681679016904618,6.7057965969315765,0.9154557463672391,5.681679016904618,757
CYP2D6:IC50,scaffold,4,1,0.23910171730515192,0.5755841999076178,9.924155818562204,0.8969616908850726,5.119761838930508,6.185549163332933,0.8969616908850726,5.119761838930508,757
CYP2D6:IC50,assay,0,0,0.2218370883882149,0.5285454032645974,13.80718725010932,0.8162911611785095,3.764483827576492,6.140257680230031,0.8162911611785095,3.764483827576492,577
CYP2D6:IC50,assay,0,1,0.1854419410745234,0.45483099205988303,15.176113170085614,0.8110918544194108,3.635428218394843,5.844497553962298,0.8110918544194108,3.635428218394843,577
CYP2D6:IC50,assay,1,0,0.2623574144486692,0.6300823014583291,13.253955487794661,0.7820025348542459,3.20763138622914,5.933642532455485,0.7820025348542459,3.20763138622914,789
CYP2D6:IC50,assay,1,1,0.21292775665399238,0.483360717630937,14.118546382793077,0.8174904942965779,3.4317299266167582,5.389588070208622,0.8174904942965779,3.4317299266167582,789
CYP2D6:IC50,assay,2,0,0.1460823373173971,0.3687146137941166,14.673197869469254,0.751660026560425,2.8376864920950187,5.407255037124065,0.751660026560425,2.8376864920950187,753
CYP2D6:IC50,assay,2,1,0.199203187250996,0.5207345713271877,15.00283750709232,0.7609561752988048,3.412736873186161,5.88492745492851,0.7609561752988048,3.412736873186161,753
CYP2D6:IC50,assay,3,0,0.24671532846715327,0.669428448490072,11.700266821353575,0.8262773722627738,3.4703552280129006,5.4425526910625175,0.8262773722627738,3.4703552280129006,685
CYP2D6:IC50,assay,3,1,0.1927007299270073,0.4091537601608353,14.70415336604535,0.8379562043795621,3.5815769106698565,5.621169662760736,0.8379562043795621,3.5815769106698565,685
CYP2D6:IC50,assay,4,0,0.23243243243243245,0.5715516975686835,13.587069774755635,0.8306306306306306,3.527882669933522,6.217082258537322,0.8306306306306306,3.527882669933522,555
CYP2D6:IC50,assay,4,1,0.2072072072072072,0.46991120339422565,14.140189191693871,0.8414414414414414,3.8002553058804716,6.514760857185698,0.8414414414414414,3.8002553058804716,555
